sender,transaction_hour,total_transactions,total_value
0x28C6c06298d514Db089934071355E5743bf21d60,2025-02-17 05,231,34798.113189669995
0x28C6c06298d514Db089934071355E5743bf21d60,2025-02-14 11,243,34624.88927311001
0x28C6c06298d514Db089934071355E5743bf21d60,2025-02-17 04,255,34338.94583165999
0x28C6c06298d514Db089934071355E5743bf21d60,2025-02-16 18,120,33111.25374608998
0x9C19B0497997Fe9E75862688a295168070456951,2025-02-16 15,8,26259.5135663
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-15 19,30,13702.25125329
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-17 01,488,12056.348924670016
0x77134cbC06cB00b66F4c7e623D5fdBF6777635EC,2025-02-14 17,8,10707.00546067
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-17 05,306,7760.41502058
0xa40dFEE99E1C85DC97Fdc594b16A460717838703,2025-02-17 03,10,6592.0
0xEae7380dD4CeF6fbD1144F49E4D1e6964258A4F4,2025-02-17 01,8,6511.99918773
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,2025-02-17 04,90,6437.291492739999
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-14 11,194,6304.839818050003
0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,2025-02-14 11,215,6149.06923544
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-14 12,179,5794.09418284
0xDBF5E9c5206d0dB70a90108bf936DA60221dC080,2025-02-14 10,6,5590.0
0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,2025-02-16 18,109,4909.508899640001
0xEae7380dD4CeF6fbD1144F49E4D1e6964258A4F4,2025-02-14 11,9,4194.99981091
0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,2025-02-17 01,99,4099.850661919998
0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,2025-02-16 17,93,4021.75616705
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-17 02,402,3895.3710032199992
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-15 11,116,3799.6686759599997
0xEae7380dD4CeF6fbD1144F49E4D1e6964258A4F4,2025-02-16 18,6,3470.99798531
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,2025-02-17 03,119,3467.791227699999
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,2025-02-17 02,118,3398.96440386
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,2025-02-16 23,107,3271.115800540001
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,2025-02-14 13,47,3246.269541090001
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,2025-02-14 15,41,3210.9318961600006
0xDBF5E9c5206d0dB70a90108bf936DA60221dC080,2025-02-17 03,9,3207.0005
0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,2025-02-17 06,25,3069.2955616299996
0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,2025-02-16 17,151,3036.5454544599997
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-17 05,89,2842.57913034
0xBE99C27a4Cbd746f249957A5d908BF64eB06E618,2025-02-15 17,10,2775.8401115799998
0xCD531Ae9EFCCE479654c4926dec5F6209531Ca7b,2025-02-17 00,44,2730.63279247
0xC37704a457b1Ee87Eb657CAE584A34961e86acaC,2025-02-15 17,10,2708.75
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-16 20,41,2593.8067139099994
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-17 03,393,2590.42294103
0xEae7380dD4CeF6fbD1144F49E4D1e6964258A4F4,2025-02-17 02,10,2517.99961172
0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,2025-02-14 23,22,2506.50888291
0xDBF5E9c5206d0dB70a90108bf936DA60221dC080,2025-02-17 01,8,2503.0
0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,2025-02-15 12,143,2325.6734322400007
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-15 20,12,2289.193825889999
0xC37704a457b1Ee87Eb657CAE584A34961e86acaC,2025-02-14 13,12,2218.1146
0xC37704a457b1Ee87Eb657CAE584A34961e86acaC,2025-02-14 12,8,2218.11
0xBE99C27a4Cbd746f249957A5d908BF64eB06E618,2025-02-15 16,7,2198.38701022
0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,2025-02-17 02,108,2092.52500792
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-14 11,79,2088.864728199999
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-15 16,35,2076.06244714
0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,2025-02-17 02,203,2065.5165693699996
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-15 11,57,2052.8996931399997
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-17 01,66,2051.4287079200003
0x9696f59E4d72E237BE84fFD425DCaD154Bf96976,2025-02-16 18,94,2023.9277513600002
0xDBF5E9c5206d0dB70a90108bf936DA60221dC080,2025-02-16 17,6,1971.0
0x4976A4A02f38326660D17bf34b431dC6e2eb2327,2025-02-16 23,52,1908.7296223600003
0x267be1C1D684F78cb4F6a176C4911b741E4Ffdc0,2025-02-14 12,69,1864.6955054200002
0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,2025-02-14 12,193,1863.3454598199985
