sender_addr,recipient_addr,total_transactions,total_sent,total_received
0x6d42aAb8B4EFd1AD0C5454a040B59Ae3c99440B5,0x6d42aAb8B4EFd1AD0C5454a040B59Ae3c99440B5,46,1380.4599999999998,1380.4599999999998
0x00001b0bcca9BC88774000692DEf9Dd6452afb9F,0x00001b0bcca9BC88774000692DEf9Dd6452afb9F,42,58.277158429999965,58.275502019999976
0x01cc0bDC248a2916EFB0e39F28aAd2ae3D21be09,0xB74A3fbB5B8BF6607f236c53FB5eE4d2ed536b51,35,0.08321214999999998,0.08298904000000001
0x004c1Bf2F642249a683B850FcE63dDC1c94e836c,0x3c10d28469b918e89e0506cf4fc549dc8a889e1C,10,0.0001,0.0001
0x01Ff4825C1f8e902A6aB0F2F28195004Da1E86D6,0x809caa6F8b360BeEe8B4340Ff5Af41fE13873495,10,0.0001,0.0001
0x02835C5Be8Ff9baF9B7d3354cDe9C54c241EC227,0xea8Ea715D42C53014163457bD89a3Fd1cDDD09fA,10,0.0001,0.0001
0x02A975c2475056686A21018639818738077c1Ff5,0xcd05Eab9212E707f917617909F3319aC2fdB4694,10,0.0001,0.0001
0x03E07CeBBD1430b7631b2C435245e953db67Ec54,0x2Ea6B16d24f29A8Cf814a2a53e50408586b950D3,10,0.0001,0.0001
0x03a1863aa4d75B0e4431279d96038a80E8d57668,0x834BE8fB8D947240aD26BF833CBb05B98aa37749,10,0.0001,0.0001
0x05330A9Ba3d1b09582285E2c833De81c371AfFC8,0x47695dAF3990a6f561657E519C840Fc0015A1BF1,10,0.0001,0.0001
0x0801E863BEB34fE054625aC172D706ac3B11c9D9,0xD4850360F6eb84387dBB21599895074eBe5C3631,10,0.0001,0.0001
0x09a6Daa7af7701740D1f5a7799aE7FD707161eEB,0xd11b0569Ba484998c3bB7ce1c8eB35d1A9C453F4,10,0.0001,0.0001
0x0A3420fDe3e451A217faF144Ddb6C04f9e8D62dF,0x5baaE5001497925Cd4d0E0d4CE5eB72E779AF827,10,0.0001,0.0001
0x0Ce10eD0b57d8Fe88EA4dC81f6B8e2934855DbDa,0x0Ce10eD0b57d8Fe88EA4dC81f6B8e2934855DbDa,10,0.74179551,0.7421965400000001
